,,,,
161,Wilson's Phalarope,null,null,null
162,Red-necked Phalarope,null,null,null
163,Red Phalarope,null,null,null
164,South Polar Skua,null,null,null
165,Pomarine Jaeger,null,null,null
166,Parasitic Jaeger,null,null,null
167,Long-tailed Jaeger,null,null,null
168,Dovekie,null,null,null
169,Common Murre,null,null,null
170,Thick-billed Murre,null,null,null
171,Razorbill,null,null,null
172,Long-billed Murrelet,null,null,null
173,Ancient Murrelet,null,null,null
174,Atlantic Puffin,null,null,null
175,Black-legged Kittiwake,null,null,null
176,Sabine's Gull,null,null,null
177,Bonaparte's Gull,null,null,null
178,Gray-hooded Gull,null,null,null
179,Black-headed Gull,null,null,null
180,Little Gull,null,null,null
181,Laughing Gull,null,null,null
182,Franklin's Gull,null,null,null
183,Belcher's Gull,null,null,null
184,Black-tailed Gull,null,null,null
185,Heermann's Gull,null,null,null
186,Ring-billed Gull,null,null,null
187,California Gull,null,null,null
188,Herring Gull,null,null,null
189,Iceland Gull,null,null,null
190,Iceland Gull,null,null,null
191,Lesser Black-backed Gull,null,null,null
192,Slaty-backed Gull,null,null,null
193,Glaucous Gull,null,null,null
194,Great Black-backed Gull,null,null,null
195,Kelp Gull,null,null,null
196,Brown Noddy,null,null,null
197,Black Noddy,null,null,null
198,Sooty Tern,null,null,null
199,Bridled Tern,null,null,null
200,Least Tern,null,null,null
201,Gull-billed Tern,null,null,null
202,Caspian Tern,null,null,null
203,Black Tern,null,null,null
204,Roseate Tern,null,null,null
205,Common Tern,null,null,null
206,Arctic Tern,null,null,null
207,Forster's Tern,null,null,null
208,Royal Tern,null,null,null
209,Sandwich Tern,null,null,null
210,Elegant Tern,null,null,null
211,Black Skimmer,null,null,null
212,White-tailed Tropicbird,null,null,null
213,Red-billed Tropicbird,null,null,null
214,Red-throated Loon,null,null,null
215,Pacific Loon,null,null,null
216,Common Loon,null,null,null
217,Yellow-nosed Albatross,null,null,null
218,Wilson's Storm-Petrel,null,null,null
219,European Storm-Petrel,null,null,null
220,Leach's Storm-Petrel,null,null,null
221,Band-rumped Storm-Petrel,null,null,null
222,Northern Fulmar,null,null,null
223,Black-capped Petrel,null,null,null
224,Fea’s Petrel,null,null,null
225,Bulwer’s Petrel,null,null,null
226,Cory's Shearwater,null,null,null
227,Wedge-tailed Shearwater,null,null,null
228,Short-tailed Shearwater,null,null,null
229,Sooty Shearwater,null,null,null
230,Great Shearwater,null,null,null
231,Manx Shearwater,null,null,null
232,Audubon's Shearwater,null,null,null
233,Wood Stork,null,null,null
234,Magnificent Frigatebird,null,null,null
235,Masked Booby,null,null,null
236,Brown Booby,null,null,null
237,Red-footed Booby,null,null,null
238,Northern Gannet,null,null,null
239,Anhinga,null,null,null
240,Great Cormorant,null,null,null
241,Double-crested Cormorant,null,null,null
